entry_time,exit_time,side,entry_price,stop_price,tp1_price,tp2_price,tp1_hit,net_pnl,exit_reason,regime,bars_held
2024-10-16 05:45:00+00:00,2024-10-16 06:15:00+00:00,long,3.4287134999999997,3.418194024852436,3.47085675,3.592,False,-24.39376477553455,stop_loss,ranging,1
2024-10-20 09:30:00+00:00,2024-10-20 10:00:00+00:00,long,3.6198089999999996,3.6102308365458664,3.6504044999999996,3.736,False,-21.59692385466105,stop_loss,ranging,1
2024-10-20 12:15:00+00:00,2024-10-20 12:45:00+00:00,long,3.6128055,3.597601980368132,3.64290275,3.736,False,-24.168163570326637,stop_loss,ranging,1
2024-10-20 14:00:00+00:00,2024-10-20 14:30:00+00:00,short,3.6991495000000003,3.6971020334181905,3.6388247500000004,3.482,False,-2.58336197048895,stop_loss,ranging,1
2024-10-20 16:30:00+00:00,2024-10-21 01:15:00+00:00,short,3.7871055000000005,3.819876313101329,3.71305275,3.482,True,9.810773660053746,tp1_then_stop_loss,ranging,34
2024-10-21 02:15:00+00:00,2024-10-21 02:45:00+00:00,long,3.645822,3.645880070253776,3.699411,3.84,False,-5.717988438370288,stop_loss,ranging,1
2024-10-21 08:15:00+00:00,2024-10-21 10:30:00+00:00,long,3.5687835,3.5540438543021113,3.60039175,3.695,True,6.367635172206098,tp1_then_stop_loss,ranging,8
2024-10-21 12:30:00+00:00,2024-10-21 13:00:00+00:00,long,3.5317649999999996,3.5316378154589416,3.5578825,3.623,False,-6.021612047217153,stop_loss,ranging,1
2024-10-21 16:15:00+00:00,2024-10-21 16:45:00+00:00,long,3.4827405,3.4769669644509933,3.5171202499999996,3.61,False,-15.394008962547774,stop_loss,ranging,1
2024-10-21 21:15:00+00:00,2024-10-21 22:30:00+00:00,short,3.5142420000000003,3.521234018567839,3.494371,3.439,False,-17.19636855394085,stop_loss,ranging,4
2024-10-22 01:15:00+00:00,2024-10-22 03:30:00+00:00,short,3.5272355,3.541155891131409,3.5106177499999998,3.46,True,52.42913693341655,tp1_then_tp2,ranging,8
2024-10-22 08:45:00+00:00,2024-10-22 09:15:00+00:00,long,3.411705,3.4092404906906215,3.4366025000000002,3.501,False,-10.079887736998046,stop_loss,ranging,1
2024-10-22 12:30:00+00:00,2024-10-22 14:30:00+00:00,long,3.3746865,3.367156810231064,3.39909325,3.468,True,95.68678635251037,tp1_then_tp2,ranging,7
2024-10-23 06:15:00+00:00,2024-10-23 06:45:00+00:00,short,3.5012485000000004,3.4848073032827673,3.47187425,3.411,False,16.047948406585718,stop_loss,ranging,1
2024-10-23 15:00:00+00:00,2024-10-23 15:30:00+00:00,long,3.379689,3.444166571884792,3.4380945,3.533,False,19.440429618440888,stop_loss,ranging,1
2024-10-24 20:00:00+00:00,2024-10-24 21:30:00+00:00,short,3.2483750000000002,3.260420027502723,3.2239375,3.15,True,5.079788666424437,tp1_then_stop_loss,ranging,5
2024-10-25 00:15:00+00:00,2024-10-25 00:45:00+00:00,short,3.2843570000000004,3.2946595263100718,3.2624285000000004,3.196,False,-25.800957933578786,stop_loss,ranging,1
2024-10-25 02:00:00+00:00,2024-10-25 02:30:00+00:00,long,3.2116049999999996,3.2062204550768043,3.2338025,3.295,False,-16.467852566260465,stop_loss,ranging,1
2024-10-25 04:15:00+00:00,2024-10-25 04:45:00+00:00,long,3.185592,3.1837832114377558,3.2152960000000004,3.295,False,-9.57015087746301,stop_loss,ranging,1
2024-10-25 08:00:00+00:00,2024-10-25 08:30:00+00:00,long,3.1245615,3.1125053427884364,3.15878075,3.259,False,-25.493262772317706,stop_loss,ranging,1
2024-10-25 10:45:00+00:00,2024-10-25 15:45:00+00:00,short,3.2393795,3.2587520755620907,3.20768975,3.108,True,80.74320116359772,tp1_then_tp2,ranging,19
2024-10-25 17:15:00+00:00,2024-10-25 17:45:00+00:00,long,2.983491,3.0020077444438655,3.0477455,3.204,False,17.44284230747237,stop_loss,ranging,1
2024-10-28 01:00:00+00:00,2024-10-28 01:30:00+00:00,long,2.8084035,2.799866273020766,2.83520175,2.914,False,-25.418743761672996,stop_loss,ranging,1
2024-10-28 20:45:00+00:00,2024-10-28 21:45:00+00:00,short,2.8415785000000002,2.8589753387741217,2.8007892500000002,2.676,False,-24.133680060718383,stop_loss,ranging,3
2024-10-29 02:15:00+00:00,2024-10-29 02:45:00+00:00,short,2.9615185000000004,2.9471284735843923,2.91825925,2.82,False,16.288022152325688,stop_loss,ranging,1
2024-10-30 00:45:00+00:00,2024-10-30 01:15:00+00:00,long,2.8264125,2.8129424670935226,2.84370625,2.896,False,-24.97058123697093,stop_loss,ranging,1
